,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-01-01,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-02,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-03,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-04,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-05,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-06,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-07,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-08,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-09,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-10,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-11,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-12,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-13,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-14,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-15,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-16,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-17,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-18,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-19,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-20,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-21,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-22,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-23,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-24,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-25,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-26,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-27,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-28,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-29,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-30,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-01-31,243.164,3.4,9.8,2.83,21.48,12.1,-2026.0,4.8665,86.2
1913-02-01,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-02,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-03,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-04,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-05,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-06,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-07,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-08,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-09,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-10,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-11,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-12,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-13,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-14,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-15,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-16,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-17,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-18,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-19,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-20,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-21,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-22,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-23,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-24,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-25,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-26,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-27,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-02-28,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-01,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-02,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-03,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-04,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-05,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-06,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-03-07,243.164,3.4,9.8,2.83,21.48,12.0,-2026.0,4.8665,86.2
